"","Luxembourg","Belgium","Unspecified Area","Zambia","Democratic Republic of the Congo","Viet Nam","Venezuela (Bolivarian Republic of)","Uzbekistan","Uruguay","United States of America","Ukraine","United Kingdom","Uganda","United Arab Emirates","Turkey","Trinidad and Tobago","Thailand","United Republic of Tanzania","China, Taiwan Province of","Turkmenistan","Syrian Arab Republic","Switzerland","Sweden","Eswatini","Sudan (former)","Spain","South Africa","Singapore","Slovakia","Slovenia","Sierra Leone","Saudi Arabia","Sao Tome and Principe","Serbia and Montenegro","Russian Federation","Romania","Zimbabwe","Guinea-Bissau","Portugal","Poland","Philippines","Peru","Paraguay","Papua New Guinea","Czechia","Panama","Norway","Niger","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands Antilles (former)","Netherlands","Republic of Moldova","Mozambique","Morocco","Mexico","Mauritius","Malta","Malaysia","Malawi","Madagascar","China, Macao SAR","Lithuania","Libya","Lebanon","Lao People's Democratic Republic","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Kyrgyzstan","Jordan","Japan","Jamaica","Kazakhstan","Côte d'Ivoire","Italy","Israel","Ireland","Iraq","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Greece","Ghana","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Fiji","Estonia","El Salvador","Egypt","Ecuador","Dominican Republic","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Congo","Colombia","China, mainland","Chile","Sri Lanka","Cayman Islands","Cabo Verde","Canada","Cameroon","Myanmar","Bulgaria","Brunei Darussalam","Belize","Brazil","Bolivia (Plurinational State of)","Bangladesh","Barbados","Austria","Australia","Argentina","Angola","Algeria","Albania","Afghanistan"
"Ukraine","0.0000000","    0.0000","0","0","0","   0.000","    0.00","0","   0.000","     0.00000","0","   0.0000","0","0","      0.0","0","     0.0","0","    0.00","0","     0.0","   0.0000","   0.000000","0","0","     0.0000","   0.000","0"," 0.000000","   0.00000","0","    0.0000","0","     0.000","0.00000000","0.000000e+00","  0.00","0","0.000000e+00","  0.0000","    0.00","    0.0","  0.0000","0","0.000000","0","0.000000","0","0","0","0","0","0","     0.00000"," 0.00","   0.000","    0.00","0","0","0","     0.0000","0","0","0","0","0"," 0.00000","0","0","0","0","0","0","    0.00","0.0000000","0","    0.000","0","0","0","    0.0000","     0.0","   0.00","0","0","    0.000","0","0","   0.00000","     0.0","0","0","0","    0.0000","0","0","    0.0000","  0.0000","0","0.000000e+00"," 0.000000"," 0.00000","0","    0.00","     0.0","0","0","   0.000000","0","   0.000","0","    0.00","0","    0.000","      0","    0.0","   0.0000","0","0","  0.0000","0","0","0","0","0","0","0"," 0.00000","0","    0.000000"," 0.00000","0","   0.000","0.000000","    0.00","0"
"United Kingdom","0.0000000","    0.0000","0","0","0","   0.000","    0.00","0","   0.000","     0.00000","0","   0.0000","0","0","      0.0","0","     0.0","0","    0.00","0","     0.0","   0.0000","   0.000000","0","0","     0.0000","   0.000","0"," 0.000000","   0.00000","0","    0.0000","0","     0.000","0.00000000","0.000000e+00","  0.00","0","0.000000e+00","  0.0000","    0.00","    0.0","  0.0000","0","0.000000","0","0.000000","0","0","0","0","0","0","     0.00000"," 0.00","   0.000","    0.00","0","0","0","     0.0000","0","0","0","0","0"," 0.00000","0","0","0","0","0","0","    0.00","0.0000000","0","    0.000","0","0","0","    0.0000","     0.0","   0.00","0","0","    0.000","0","0","   0.00000","     0.0","0","0","0","    0.0000","0","0","    0.0000","  0.0000","0","0.000000e+00"," 0.000000"," 0.00000","0","    0.00","     0.0","0","0","   0.000000","0","   0.000","0","    0.00","0","    0.000","      0","    0.0","   0.0000","0","0","  0.0000","0","0","0","0","0","0","0"," 0.00000","0","    0.000000"," 0.00000","0","   0.000","0.000000","    0.00","0"
"Uganda","0.0000000","    0.0000","0","0","0","   0.000","    0.00","0","   0.000","     0.00000","0","   0.0000","0","0","      0.0","0","     0.0","0","    0.00","0","     0.0","   0.0000","   0.000000","0","0","     0.0000","   0.000","0"," 0.000000","   0.00000","0","    0.0000","0","     0.000","0.00000000","0.000000e+00","  0.00","0","0.000000e+00","  0.0000","    0.00","    0.0","  0.0000","0","0.000000","0","0.000000","0","0","0","0","0","0","     0.00000"," 0.00","   0.000","    0.00","0","0","0","     0.0000","0","0","0","0","0"," 0.00000","0","0","0","0","0","0","    0.00","0.0000000","0","    0.000","0","0","0","    0.0000","     0.0","   0.00","0","0","    0.000","0","0","   0.00000","     0.0","0","0","0","    0.0000","0","0","    0.0000","  0.0000","0","0.000000e+00"," 0.000000"," 0.00000","0","    0.00","     0.0","0","0","   0.000000","0","   0.000","0","    0.00","0","    0.000","      0","    0.0","   0.0000","0","0","  0.0000","0","0","0","0","0","0","0"," 0.00000","0","    0.000000"," 0.00000","0","   0.000","0.000000","    0.00","0"
"United Arab Emirates","0.0000000","    0.0000","0","0","0","   0.000","    0.00","0","   0.000","     0.00000","0","   0.0000","0","0","      0.0","0","     0.0","0","    0.00","0","     0.0","   0.0000","   0.000000","0","0","     0.0000","   0.000","0"," 0.000000","   0.00000","0","    0.0000","0","     0.000","0.00000000","0.000000e+00","  0.00","0","0.000000e+00","  0.0000","    0.00","    0.0","  0.0000","0","0.000000","0","0.000000","0","0","0","0","0","0","     0.00000"," 0.00","   0.000","    0.00","0","0","0","     0.0000","0","0","0","0","0"," 0.00000","0","0","0","0","0","0","    0.00","0.0000000","0","    0.000","0","0","0","    0.0000","     0.0","   0.00","0","0","    0.000","0","0","   0.00000","     0.0","0","0","0","    0.0000","0","0","    0.0000","  0.0000","0","0.000000e+00"," 0.000000"," 0.00000","0","    0.00","     0.0","0","0","   0.000000","0","   0.000","0","    0.00","0","    0.000","      0","    0.0","   0.0000","0","0","  0.0000","0","0","0","0","0","0","0"," 0.00000","0","    0.000000"," 0.00000","0","   0.000","0.000000","    0.00","0"
"Turkey","0.0000000","    0.0000","0","0","0","   0.000","    0.00","0","   0.000","     0.00000","0","   0.0000","0","0","      0.0","0","     0.0","0","    0.00","0","     0.0","   0.0000","   0.000000","0","0","     0.0000","   0.000","0"," 0.000000","   0.00000","0","    0.0000","0","     0.000","0.00000000","0.000000e+00","  0.00","0","0.000000e+00","  0.0000","    0.00","    0.0","  0.0000","0","0.000000","0","0.000000","0","0","0","0","0","0","     0.00000"," 0.00","   0.000","    0.00","0","0","0","     0.0000","0","0","0","0","0"," 0.00000","0","0","0","0","0","0","    0.00","0.0000000","0","    0.000","0","0","0","    0.0000","     0.0","   0.00","0","0","    0.000","0","0","   0.00000","     0.0","0","0","0","    0.0000","0","0","    0.0000","  0.0000","0","0.000000e+00"," 0.000000"," 0.00000","0","    0.00","     0.0","0","0","   0.000000","0","   0.000","0","    0.00","0","    0.000","      0","    0.0","   0.0000","0","0","  0.0000","0","0","0","0","0","0","0"," 0.00000","0","    0.000000"," 0.00000","0","   0.000","0.000000","    0.00","0"
"Trinidad and Tobago","0.0000000","    0.0000","0","0","0","   0.000","    0.00","0","   0.000","     0.00000","0","   0.0000","0","0","      0.0","0","     0.0","0","    0.00","0","     0.0","   0.0000","   0.000000","0","0","     0.0000","   0.000","0"," 0.000000","   0.00000","0","    0.0000","0","     0.000","0.00000000","0.000000e+00","  0.00","0","0.000000e+00","  0.0000","    0.00","    0.0","  0.0000","0","0.000000","0","0.000000","0","0","0","0","0","0","     0.00000"," 0.00","   0.000","    0.00","0","0","0","     0.0000","0","0","0","0","0"," 0.00000","0","0","0","0","0","0","    0.00","0.0000000","0","    0.000","0","0","0","    0.0000","     0.0","   0.00","0","0","    0.000","0","0","   0.00000","     0.0","0","0","0","    0.0000","0","0","    0.0000","  0.0000","0","0.000000e+00"," 0.000000"," 0.00000","0","    0.00","     0.0","0","0","   0.000000","0","   0.000","0","    0.00","0","    0.000","      0","    0.0","   0.0000","0","0","  0.0000","0","0","0","0","0","0","0"," 0.00000","0","    0.000000"," 0.00000","0","   0.000","0.000000","    0.00","0"
"Thailand","0.0000000","    0.0000","0","0","0","   0.000","    0.00","0","   0.000","     0.00000","0","   0.0000","0","0","      0.0","0","     0.0","0","    0.00","0","     0.0","   0.0000","   0.000000","0","0","     0.0000","   0.000","0"," 0.000000","   0.00000","0","    0.0000","0","     0.000","0.00000000","0.000000e+00","  0.00","0","0.000000e+00","  0.0000","    0.00","    0.0","  0.0000","0","0.000000","0","0.000000","0","0","0","0","0","0","     0.00000"," 0.00","   0.000","    0.00","0","0","0","     0.0000","0","0","0","0","0"," 0.00000","0","0","0","0","0","0","    0.00","0.0000000","0","    0.000","0","0","0","    0.0000","     0.0","   0.00","0","0","    0.000","0","0","   0.00000","     0.0","0","0","0","    0.0000","0","0","    0.0000","  0.0000","0","0.000000e+00"," 0.000000"," 0.00000","0","    0.00","     0.0","0","0","   0.000000","0","   0.000","0","    0.00","0","    0.000","      0","    0.0","   0.0000","0","0","  0.0000","0","0","0","0","0","0","0"," 0.00000","0","    0.000000"," 0.00000","0","   0.000","0.000000","    0.00","0"
"United Republic of Tanzania","0.0000000","    0.0000","0","0","0","   0.000","    0.00","0","   0.000","     0.00000","0","   0.0000","0","0","      0.0","0","     0.0","0","    0.00","0","     0.0","   0.0000","   0.000000","0","0","     0.0000","   0.000","0"," 0.000000","   0.00000","0","    0.0000","0","     0.000","0.00000000","0.000000e+00","  0.00","0","0.000000e+00","  0.0000","    0.00","    0.0","  0.0000","0","0.000000","0","0.000000","0","0","0","0","0","0","     0.00000"," 0.00","   0.000","    0.00","0","0","0","     0.0000","0","0","0","0","0"," 0.00000","0","0","0","0","0","0","    0.00","0.0000000","0","    0.000","0","0","0","    0.0000","     0.0","   0.00","0","0","    0.000","0","0","   0.00000","     0.0","0","0","0","    0.0000","0","0","    0.0000","  0.0000","0","0.000000e+00"," 0.000000"," 0.00000","0","    0.00","     0.0","0","0","   0.000000","0","   0.000","0","    0.00","0","    0.000","      0","    0.0","   0.0000","0","0","  0.0000","0","0","0","0","0","0","0"," 0.00000","0","    0.000000"," 0.00000","0","   0.000","0.000000","    0.00","0"
"China, Taiwan Province of","0.0000000","    0.0000","0","0","0","   0.000","    0.00","0","   0.000","     0.00000","0","   0.0000","0","0","      0.0","0","     0.0","0","    0.00","0","     0.0","   0.0000","   0.000000","0","0","     0.0000","   0.000","0"," 0.000000","   0.00000","0","    0.0000","0","     0.000","0.00000000","0.000000e+00","  0.00","0","0.000000e+00","  0.0000","    0.00","    0.0","  0.0000","0","0.000000","0","0.000000","0","0","0","0","0","0","     0.00000"," 0.00","   0.000","    0.00","0","0","0","     0.0000","0","0","0","0","0"," 0.00000","0","0","0","0","0","0","    0.00","0.0000000","0","    0.000","0","0","0","    0.0000","     0.0","   0.00","0","0","    0.000","0","0","   0.00000","     0.0","0","0","0","    0.0000","0","0","    0.0000","  0.0000","0","0.000000e+00"," 0.000000"," 0.00000","0","    0.00","     0.0","0","0","   0.000000","0","   0.000","0","    0.00","0","    0.000","      0","    0.0","   0.0000","0","0","  0.0000","0","0","0","0","0","0","0"," 0.00000","0","    0.000000"," 0.00000","0","   0.000","0.000000","    0.00","0"
"Turkmenistan","0.0000000","    0.0000","0","0","0","   0.000","    0.00","0","   0.000","     0.00000","0","   0.0000","0","0","      0.0","0","     0.0","0","    0.00","0","     0.0","   0.0000","   0.000000","0","0","     0.0000","   0.000","0"," 0.000000","   0.00000","0","    0.0000","0","     0.000","0.00000000","0.000000e+00","  0.00","0","0.000000e+00","  0.0000","    0.00","    0.0","  0.0000","0","0.000000","0","0.000000","0","0","0","0","0","0","     0.00000"," 0.00","   0.000","    0.00","0","0","0","     0.0000","0","0","0","0","0"," 0.00000","0","0","0","0","0","0","    0.00","0.0000000","0","    0.000","0","0","0","    0.0000","     0.0","   0.00","0","0","    0.000","0","0","   0.00000","     0.0","0","0","0","    0.0000","0","0","    0.0000","  0.0000","0","0.000000e+00"," 0.000000"," 0.00000","0","    0.00","     0.0","0","0","   0.000000","0","   0.000","0","    0.00","0","    0.000","      0","    0.0","   0.0000","0","0","  0.0000","0","0","0","0","0","0","0"," 0.00000","0","    0.000000"," 0.00000","0","   0.000","0.000000","    0.00","0"
"Syrian Arab Republic","0.0000000","    0.0000","0","0","0","   0.000","    0.00","0","   0.000","     0.00000","0","   0.0000","0","0","      0.0","0","     0.0","0","    0.00","0","     0.0","   0.0000","   0.000000","0","0","     0.0000","   0.000","0"," 0.000000","   0.00000","0","    0.0000","0","     0.000","0.00000000","0.000000e+00","  0.00","0","0.000000e+00","  0.0000","    0.00","    0.0","  0.0000","0","0.000000","0","0.000000","0","0","0","0","0","0","     0.00000"," 0.00","   0.000","    0.00","0","0","0","     0.0000","0","0","0","0","0"," 0.00000","0","0","0","0","0","0","    0.00","0.0000000","0","    0.000","0","0","0","    0.0000","     0.0","   0.00","0","0","    0.000","0","0","   0.00000","     0.0","0","0","0","    0.0000","0","0","    0.0000","  0.0000","0","0.000000e+00"," 0.000000"," 0.00000","0","    0.00","     0.0","0","0","   0.000000","0","   0.000","0","    0.00","0","    0.000","      0","    0.0","   0.0000","0","0","  0.0000","0","0","0","0","0","0","0"," 0.00000","0","    0.000000"," 0.00000","0","   0.000","0.000000","    0.00","0"
"Switzerland","0.0000000","    0.0000","0","0","0","   0.000","    0.00","0","   0.000","     0.00000","0","   0.0000","0","0","      0.0","0","     0.0","0","    0.00","0","     0.0","   0.0000","   0.000000","0","0","     0.0000","   0.000","0"," 0.000000","   0.00000","0","    0.0000","0","     0.000","0.00000000","0.000000e+00","  0.00","0","0.000000e+00","  0.0000","    0.00","    0.0","  0.0000","0","0.000000","0","0.000000","0","0","0","0","0","0","     0.00000"," 0.00","   0.000","    0.00","0","0","0","     0.0000","0","0","0","0","0"," 0.00000","0","0","0","0","0","0","    0.00","0.0000000","0","    0.000","0","0","0","    0.0000","     0.0","   0.00","0","0","    0.000","0","0","   0.00000","     0.0","0","0","0","    0.0000","0","0","    0.0000","  0.0000","0","0.000000e+00"," 0.000000"," 0.00000","0","    0.00","     0.0","0","0","   0.000000","0","   0.000","0","    0.00","0","    0.000","      0","    0.0","   0.0000","0","0","  0.0000","0","0","0","0","0","0","0"," 0.00000","0","    0.000000"," 0.00000","0","   0.000","0.000000","    0.00","0"
"Sweden","0.0000000","    0.0000","0","0","0","   0.000","    0.00","0","   0.000","     0.00000","0","   0.0000","0","0","      0.0","0","     0.0","0","    0.00","0","     0.0","   0.0000","   0.000000","0","0","     0.0000","   0.000","0"," 0.000000","   0.00000","0","    0.0000","0","     0.000","0.00000000","0.000000e+00","  0.00","0","0.000000e+00","  0.0000","    0.00","    0.0","  0.0000","0","0.000000","0","0.000000","0","0","0","0","0","0","     0.00000"," 0.00","   0.000","    0.00","0","0","0","     0.0000","0","0","0","0","0"," 0.00000","0","0","0","0","0","0","    0.00","0.0000000","0","    0.000","0","0","0","    0.0000","     0.0","   0.00","0","0","    0.000","0","0","   0.00000","     0.0","0","0","0","    0.0000","0","0","    0.0000","  0.0000","0","0.000000e+00"," 0.000000"," 0.00000","0","    0.00","     0.0","0","0","   0.000000","0","   0.000","0","    0.00","0","    0.000","      0","    0.0","   0.0000","0","0","  0.0000","0","0","0","0","0","0","0"," 0.00000","0","    0.000000"," 0.00000","0","   0.000","0.000000","    0.00","0"
