"","Trinidad and Tobago","Tonga","Thailand","United Republic of Tanzania","China, Taiwan Province of","Turkmenistan","Syrian Arab Republic","Switzerland","Sweden","Eswatini","Suriname","Spain","South Africa","Singapore","Slovakia","Slovenia","Saudi Arabia","Sao Tome and Principe","Russian Federation","Romania","Zimbabwe","Qatar","Portugal","Poland","Philippines","Peru","Paraguay","Papua New Guinea","Czechia","Panama","Norway","Niger","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands","Nepal","Republic of Moldova","Mozambique","Morocco","Mexico","Mauritius","Mauritania","Malta","Maldives","Malaysia","Malawi","Madagascar","China, Macao SAR","Lithuania","Libya","Lebanon","Lao People's Democratic Republic","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Kyrgyzstan","Jordan","Japan","Jamaica","Kazakhstan","Côte d'Ivoire","Italy","Israel","Ireland","Iraq","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Guam","Greece","Ghana","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Fiji","Faroe Islands","Estonia","El Salvador","Egypt","Ecuador","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Congo","Colombia","China, mainland","Chile","Sri Lanka","Cabo Verde","Canada","Cameroon","Myanmar","Bulgaria","Brunei Darussalam","Solomon Islands","Belize","Aruba","Brazil","Bolivia (Plurinational State of)","Bangladesh","Barbados","Bahamas","Austria","Australia","Argentina","Angola","Algeria","Afghanistan"
"United Arab Emirates","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Turkey","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Trinidad and Tobago","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Tonga","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Thailand","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"United Republic of Tanzania","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"China, Taiwan Province of","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Turkmenistan","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Syrian Arab Republic","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Switzerland","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Sweden","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
"Eswatini","0.000000","0","    0.00","0","    0.0000","0","   0.000","    0.0000","0.000000e+00","   0.000","0","    0.0000","   0.000000","  0.000","   0.0000"," 0.00000","  0.000000","0","  0.0000000","    0.000000","0","  0.00000","0.000000e+00","  0.00000","   0.0000","0","   0.000","0","   0.00000","0"," 0.00000","0","0"," 0.00000","0","0","      0.0000","    0.00","0","   0.000000","  0.00000","0","0.000000","0","0","0","     0.0000","0","0","0","0","  0.0000","   0.000000","0","0","    0.0000","   0.000","0","0","   0.000","0.000000"," 0.00000","  0.000000","0","0","0","     0.0000","     0.0","0","0.000000","    0.00","     0.00","    0.00","0","  0.0000","    0.00000","  0.000000","0","0","0","     0.00000","0","  0.0000","     0.0000","0","0","       0.000","0.000000"," 0.00000","0","  0.0000","0","      0.0000","0","    0.000000","0"," 0.00000","    0.00","   0.000"," 0.0000","    0.00","0.000000e+00","   0.000","   0.0000","0","    0.0000","  0.0000","0","  0.00000","0","0","     0.0","0","0.000000","   0.000","    0.00","0","0","     0.0000","  0.00000","0","  0.0000"," 0.00000","0"
