"","Turkey","Trinidad and Tobago","Tonga","Thailand","United Republic of Tanzania","China, Taiwan Province of","Syrian Arab Republic","Switzerland","Sweden","Eswatini","Suriname","Sudan (former)","Spain","South Africa","Singapore","Slovakia","Slovenia","Sierra Leone","Saudi Arabia","Russian Federation","Romania","Zimbabwe","Qatar","Guinea-Bissau","Portugal","Poland","Philippines","Peru","Paraguay","Papua New Guinea","Czechia","Panama","Norway","Niger","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands","Nepal","Republic of Moldova","Mozambique","Morocco","Mongolia","Mexico","Mauritius","Mauritania","Malta","Maldives","Malaysia","Malawi","Madagascar","China, Macao SAR","Lithuania","Lebanon","Lao People's Democratic Republic","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Kyrgyzstan","Jordan","Japan","Jamaica","Kazakhstan","Côte d'Ivoire","Italy","Israel","Ireland","Iraq","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Guam","Greece","Ghana","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Fiji","Faroe Islands","Estonia","El Salvador","Egypt","Ecuador","Dominican Republic","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Congo","Colombia","China, mainland","Chile","Sri Lanka","Cayman Islands","Cabo Verde","Canada","Bulgaria","Brunei Darussalam","Brazil","Bolivia (Plurinational State of)","Bangladesh","Barbados","Austria","Australia","Argentina","Angola","Algeria","Afghanistan"
"Panama","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Norway","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Niger","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Nicaragua","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"New Zealand","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"The former Yugoslav Republic of Macedonia","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"New Caledonia","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Netherlands","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Nepal","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Republic of Moldova","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Mozambique","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Morocco","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Mongolia","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Mexico","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","4917.855","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0"," 1639.28491","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Mauritius","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Mauritania","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Malta","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Maldives","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Malaysia","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Malawi","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Madagascar","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"China, Macao SAR","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
"Lithuania","     0.00"," 0.00000","0","     0.00000","0","   0.0000","      0.00","    0.00000","0.000000e+00","0","0","0","    0.00000","   0.000000","   0.0000","    0.00000"," 0.00000","0","   0.000000"," 0.000000","     0.0000","  0.0000","  0.0000","0","0.000000e+00","0.000000","   0.000","   0.000000","   0.000","0","  0.0000","  0.0000"," 0.00000","0","0"," 0.00000","  0.0000","0","    0.000000","   0.000","  0.0000","    0.00","    0.00","0","0","  0.00000","0"," 0.00000","0","     0.0000"," 0.0000","0.00000","0","   0.000","0.000000","0","0","  0.0000","0.000000","0","0","0.000000","0.000000"," 0.00000","  0.000000","0","0","0","0.000000e+00"," 0.00000","    0.00","0","    0.00","    0.00000"," 0.00000","0","  0.000000","     0.00000","0.000000","   0.000","0","0","    0.0000","  0.0000","  0.0000","0.000000e+00","0","0","      0.0000","  0.000000","0.000000","0","  0.0000","0","     0.0","0","0","     0","0"," 0.00000","0","0","0","    0.00","      0","    0.00"," 0.00000","0","0","    0.00000","     0.0","0"," 0.00000","   0.000","    0.0000","0","    0.0000"," 0.00000","0.000000"," 0.00000","0","0"
