"","United States of America","Ukraine","United Kingdom","Uganda","United Arab Emirates","Turkey","Trinidad and Tobago","Thailand","United Republic of Tanzania","China, Taiwan Province of","Syrian Arab Republic","Switzerland","Sweden","Eswatini","Suriname","Sudan (former)","Spain","South Africa","Singapore","Slovakia","Slovenia","Saudi Arabia","Saint Helena, Ascension and Tristan da Cunha","Russian Federation","Romania","Zimbabwe","Qatar","Portugal","Poland","Philippines","Peru","Paraguay","Czechia","Panama","Norway","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands Antilles (former)","Netherlands","Nepal","Republic of Moldova","Mozambique","Morocco","Mexico","Mauritius","Malta","Maldives","Malaysia","Malawi","China, Macao SAR","Lithuania","Lebanon","Lao People's Democratic Republic","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Kyrgyzstan","Jordan","Japan","Jamaica","Kazakhstan","Italy","Israel","Ireland","Iraq","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Guam","Greece","Ghana","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Fiji","Faroe Islands","Estonia","El Salvador","Egypt","Ecuador","Dominican Republic","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Congo","Colombia","China, mainland","Chile","Sri Lanka","Cayman Islands","Cabo Verde","Canada","Cameroon","Myanmar","Bulgaria","Brunei Darussalam","Aruba","Brazil","Bolivia (Plurinational State of)","Bangladesh","Barbados","Bahamas","Austria","Australia","Argentina","Angola","Algeria","Albania","Afghanistan"
"Uruguay","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"United States of America","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Ukraine","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"United Kingdom","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Uganda","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"United Arab Emirates","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Turkey","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Trinidad and Tobago","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Thailand","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"United Republic of Tanzania","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"China, Taiwan Province of","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Syrian Arab Republic","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
"Switzerland","     0.00000","0","     0.00000","0","    0.0000","     0.0"," 0.00000","     0.0","0","  0.0000","    0.00","0.000000e+00","    0.0000","0","0.000000","     0.0","    0.000","    0.00000","0.0000000","  0.000","  0.0000","   0.00000","0","0","    0.0000","   0.000","  0.0000","0.000000e+00","0","   0.000","   0.00000","   0.000","0","0","0","0","0.000000","     0.0","0","0","    0.00000","  0.0000","0.000000","   0.00","   0.0000"," 0.00000"," 0.00000","0","0","    0.0000","0","0","0","0","0","0","  0.0000","0","0","0","  0.0000","0","0","    0.000000","0","      0","0.000000e+00","   0.000","  0.0000","0.000000","     0.00","     0.0","0","0","0.000000","     0.00000","0","0.000000","     0.0","0","     0.00000","0","   0.000","     0.00000","0","0","      0.0000"," 0.00000","0","0","  0.0000","0","     0.0","0","0","0.000000e+00","0","      0","0","0"," 0.00000","   0.000","      0.0000","     0.0","   0.00","0","0","  0.00000","0.000000","0","0.000000","0","0","  0.000","  0.0000","    0.000","0","0","     0.00000"," 0.00000","0","0","  0.0000","    0.00","0"
