"","Turkmenistan","Syrian Arab Republic","Switzerland","Sweden","Eswatini","Suriname","Spain","South Africa","Singapore","Slovakia","Slovenia","Saudi Arabia","Sao Tome and Principe","Russian Federation","Romania","Zimbabwe","Qatar","Guinea-Bissau","Portugal","Poland","Philippines","Peru","Paraguay","Papua New Guinea","Czechia","Panama","Norway","Niger","Nicaragua","New Zealand","The former Yugoslav Republic of Macedonia","New Caledonia","Netherlands","Nepal","Republic of Moldova","Micronesia (Federated States of)","Mozambique","Morocco","Mongolia","Mexico","Mauritius","Mauritania","Malta","Maldives","Malaysia","Malawi","Madagascar","China, Macao SAR","Lithuania","Libya","Lebanon","Lao People's Democratic Republic","Latvia","Kuwait","Republic of Korea","Democratic People's Republic of Korea","Cambodia","Kenya","Kyrgyzstan","Jordan","Japan","Jamaica","Kazakhstan","Côte d'Ivoire","Italy","Israel","Ireland","Iraq","Iran (Islamic Republic of)","Indonesia","India","Iceland","Croatia","Hungary","China, Hong Kong SAR","Honduras","Guatemala","Guam","Greece","Ghana","Bosnia and Herzegovina","Germany","Gabon","French Polynesia","France","Finland","Fiji","Faroe Islands","Estonia","El Salvador","Egypt","Ecuador","Dominican Republic","Denmark","Azerbaijan","Cyprus","Cuba","Costa Rica","Congo","Colombia","China, mainland","Chile","Sri Lanka","Cabo Verde","Canada","Cameroon","Myanmar","Bulgaria","Brunei Darussalam","Solomon Islands","Belize","Aruba","Brazil","Bolivia (Plurinational State of)","Bangladesh","Barbados","Austria","Australia","Argentina","Angola","Algeria","Albania","Afghanistan"
"The former Yugoslav Republic of Macedonia","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"New Caledonia","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Netherlands","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Nepal","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","2.447120e-01","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Republic of Moldova","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Micronesia (Federated States of)","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Mozambique","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Morocco","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Mongolia","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Mexico","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","94690.97","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Mauritius","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Mauritania","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Malta","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Maldives","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Malaysia","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Malawi","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Madagascar","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"China, Macao SAR","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Lithuania","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Libya","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Lebanon","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Lao People's Democratic Republic","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
"Latvia","  0.0000","   0.00","    0.00000","0.000000e+00"," 0.00000","0","   0.0000","0.000000e+00","0.000000","  0.000000","  0.00000","  0.000000","0"," 0.000000","    0.0000","0","   0.0000","0","0.000000e+00"," 0.000000","0.000000","    0.00","   0.000","0"," 0.00000","0","0","0","0","0.000000","0","0.0000000","    0.000000","   0.000","0.0000000","0","    0.0000","    0.0000","0","0","  0.0000","0.0000000","0","0","    0.00000","  0.0000","   0.00","0","0","0","0.000000e+00","0","0","   0.0000","   0.00000","   0.000","0","    0.000000","0.0000000","0.000000"," 0.00000","0","  0.0000","0","     0.0000"," 0.00000","0","  0.000000","     0.0","    0.000","0.000000e+00","0","   0.0000000","    0.00000","0.000000","0","0","0","   0.000000"," 0.0000","  0.0000","0.000000e+00","0","0","0.000000e+00","0.000000","0.000000","0"," 0.0000000","0","     0.0","0","0","    0.000","0.0000000","  0.0000","    0.00","0"," 0.00000","0","      0","    0.00","    0.0000","0","     0.0000","0","0","     0.0000","0","0","    0.00","0","  0.000","   0.000","    0.00000","0","     0.0000"," 0.0000","0","  0.0000","0","0","0"
