"","EWD_m^3"
"Afghanistan",0
"Albania",0
"Algeria",0
"Angola",0
"Argentina",4962331.27356283
"Australia",0
"Austria",0
"Barbados",0
"Bangladesh",0
"Bermuda",0
"Bolivia (Plurinational State of)",0
"Brazil",0
"Aruba",0
"Belize",0
"Brunei Darussalam",0
"Bulgaria",1214.01459854015
"Myanmar",0
"Cameroon",0
"Canada",0
"Cabo Verde",0
"Cayman Islands",0
"Sri Lanka",0
"Chile",0
"China, mainland",0
"Colombia",0
"Costa Rica",0
"Cuba",0
"Cyprus",0
"Azerbaijan",0
"Denmark",0
"Dominican Republic",0
"Ecuador",0
"Egypt",89182.1459600348
"El Salvador",0
"Estonia",0
"Faroe Islands",0
"Finland",0
"France",31765.6002276515
"French Polynesia",0
"Gabon",0
"Germany",0
"Bosnia and Herzegovina",0
"Ghana",0
"Greece",2669333.33333333
"Guam",0
"Guatemala",0
"Honduras",0
"China, Hong Kong SAR",0
"Hungary",1926.20568001411
"Croatia",0
"Iceland",0
"India",10871.3017951902
"Indonesia",0
"Iran (Islamic Republic of)",0
"Iraq",0
"Ireland",0
"Israel",0
"Italy",816805.979408372
"C??te d'Ivoire",0
"Kazakhstan",1.16224648985959
"Jamaica",0
"Japan",0
"Jordan",0
"Kyrgyzstan",418024.390243902
"Kenya",0
"Cambodia",0
"Democratic People's Republic of Korea",0
"Republic of Korea",0
"Kuwait",0
"Latvia",0
"Lao People's Democratic Republic",0
"Lebanon",0
"Lithuania",0
"China, Macao SAR",0
"Madagascar",0
"Malawi",0
"Malaysia",0
"Maldives",0
"Malta",0
"Mauritius",0
"Mexico",1360464.2412437
"Mongolia",0
"Morocco",0
"Mozambique",0
"Micronesia (Federated States of)",0
"Republic of Moldova",0
"Nepal",50.1734693877551
"Netherlands",0
"Netherlands Antilles (former)",0
"New Caledonia",0
"The former Yugoslav Republic of Macedonia",0
"New Zealand",0
"Nicaragua",0
"Norway",0
"Panama",0
"Czechia",0
"Paraguay",0
"Peru",0
"Philippines",0
"Poland",0
"Portugal",0
"Qatar",0
"Zimbabwe",481.650135898567
"Romania",1477416.26631952
"Russian Federation",0
"Saudi Arabia",0
"Slovenia",0
"Slovakia",0
"Singapore",0
"South Africa",8985.07783018868
"Spain",22009216.5898618
"Sudan (former)",0
"Suriname",0
"Eswatini",0
"Sweden",0
"Switzerland",0
"Syrian Arab Republic",0
"China, Taiwan Province of",0
"United Republic of Tanzania",0
"Thailand",0
"Trinidad and Tobago",0
"Turkey",0
"United Arab Emirates",0
"Uganda",0
"United Kingdom",0
"Ukraine",0
"United States of America",0
"Uruguay",0
"Uzbekistan",0
"Venezuela (Bolivarian Republic of)",0
"Viet Nam",0
"Ethiopia",337221.406086044
"British Virgin Islands",0
"Democratic Republic of the Congo",0
"Zambia",0
"Unspecified Area",0
"Belgium",0
"Luxembourg",0
